Finds No,Unit No,Count,Weight,Thickness,Colour,Bubbles,Original Edge,Fracture Edge,Ridge Lines,Shadow Lines,Quarry shape,Length,Width,Quarry size,Burnt,Patina,Decoration,scratch type,Scratchings,object,Completeness,Other Comments,Control reading,Translucency reading,Percentage translusency,Building Phases_Building Phase,Real Date,Start Date,End Date,Period_Date,Attribution,GroupNo,Space,Unit type,Unit entropy,Sieved
17425,2996,1,0.14,1.2,light green,None,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2951,2764,Fireplace,in situ,FALSE
15121,3018,1,0.48,1.6,light green,None,,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,FALSE
17404,2964,1,0.38,2,light green,None,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE
17407,2965,1,0.59,2,light green,None,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE
17412,2982,1,0.17,2,light green,None,,Straight,,FALSE,,,,,FALSE,moderate,,,,?pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE
11499,2361,1,0.65,1,colourless,None,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S18.2,1680-1690,1680,1690,1660-1690,Pantry,2447,1884,Barrel Pit,in situ,FALSE
11471,2409,2,0.96,1,colourless,None,Chipped,Straight,,TRUE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S18.2,1680-1690,1680,1690,1660-1690,Pantry,2369,1884,Floor,in situ,FALSE
11493,2449,4,3.9,1.8,light green,,Cut,Straight,,FALSE,straight-sided,,,,FALSE,heavy,,,,pane,,,,,,S18.2,1680-1690,1680,1690,1660-1690,Pantry,2369,1884,Floor,in situ,TRUE
11472,2412,1,1.48,1.2,light green,None,,Straight,,FALSE,,,,,FALSE,slight,painted stripes,,,?painted pane,,,,,,S18.2,1680-1690,1680,1690,1660-1690,Pantry,2369,1884,Floor,in situ,FALSE
2825,612,6,10.12,1.2,light green,None,Chipped;Cut,Straight,,FALSE,arched,,35,diameter of curve ca. 35 mm,FALSE,slight,,,,pane,,an arched pane with the arch cut and at least one cut straight edge,,,,MC.1,1650-1700,1650,1700,1630-1720,Midden Zone C,634,364,Midden,in situ,FALSE
11483,2437,1,7.53,3,dark green,Frequent,Chipped,Straight,,TRUE,arched,,,23mm,FALSE,absent,"Painted or stained, leaf shaped glass",,,painted pane,,"Leaf shaped glass with painted or stained veins, part of a bigger piece.",,,,MC.1,1650-1700,1650,1700,1630-1720,Midden Zone C,634,2193,Wall,disorganized,FALSE
8071,1421,1,0.77,1.1,light green,None,Chipped,Straight,,TRUE,curved,,,,FALSE,slight,,,,pane,,,,,,S31.1,1650-1700,1650,1700,1660-1690,Bishops Former Living Quarters,546,546,External area,in situ,FALSE
11484,2437,2,2.47,2.2,colourless,Occasional,Chipped,Straight,,FALSE,curved,,,,FALSE,slight,,,,pane,,,,,,MC.1,1650-1700,1650,1700,1630-1720,Midden Zone C,634,2193,Wall,disorganized,FALSE
7974,1319,5,11.47,1.2,colourless,None,Cut,Straight,,FALSE,diamond/lozenge,,,,FALSE,slight,,,,pane,,,,,,S31.1,1650-1700,1650,1700,1660-1690,Bishops Former Living Quarters,546,546,Wall,disorganized,FALSE
7974,1319,15,9.71,1.2,light green,None,Cut,Straight,,FALSE,diamond/lozenge,,,,FALSE,slight,,,,pane,,,,,,S31.1,1650-1700,1650,1700,1660-1690,Bishops Former Living Quarters,546,546,Wall,disorganized,FALSE
11282,2135,2,3.9,1.5,light green,None,Chipped,Straight,,TRUE,diamond/lozenge,,,,FALSE,slight,,,,pane,,,,,,MC.1,1650-1700,1650,1700,1630-1720,Midden Zone C,634,2008,Midden,in situ,TRUE
7974,1319,9,17.37,1.6,light green,None,Chipped;Cut,Straight,,TRUE,diamond/lozenge,,,,FALSE,moderate,,,,pane,,,,,,S31.1,1650-1700,1650,1700,1660-1690,Bishops Former Living Quarters,546,546,Wall,disorganized,FALSE
11287,2146,1,2.31,2,colourless,None,Cut,Straight,,TRUE,diamond/lozenge,,,,FALSE,slight,,,,pane,,could also be triangle,,,,MC.1,1650-1700,1650,1700,1630-1720,Midden Zone C,634,2008,Midden,in situ,TRUE
